Aluminum;897
Aluminum bronze;436
Bone;440
Brass;375
Bronze;370
Cellulose, cotton, wood pulp and regenerated;1300 - 1500
Chromium;452
Copper;385
Diamond (carbon);516
Epoxy cast resins;1000
Glass, crown;670
Gold;129
Graphite (carbon);717
Iron;449
Lead;129
Marble;880
Nickel;461
Nylon-6;1600
Platinium;133
Polystyrene;1300 - 1500
Polyvinylchloride PVC;840 - 1170
Porcelain;1085
Silver;235
Steel;490
Timber, alder;1400
Timber, ash;1600
Timber, birch;1900
Timber, larch;1400
Timber, maple;1600
Timber, oak;2400
Timber, pitchpine;1300
Timber, pockwood;2500
Timber, red beech;1300
Timber, red pine;1500
Timber, white pine;1500
Timber, walnut;1400
Tin;228
Titanium;523
Wood;1300 - 2400
Zinc;388
