Aluminum;23
Aluminum alloys;22
Brass;18.5
Bronze;17.75
Caoutchouc;57
Cast Iron Gray;10.8
Celluloid;100
Chromium;6.5
Cobalt;12
Copper;16.3
Diamond (Carbon);1.2
Epoxy - glass fiber reinforced;36
Epoxy, cast resins & compounds, unfilled;55
Glass, hard;5.9
Glass, plate;9
Glass, Pyrex;4
Gold;14.2
Gold - copper;15.5
Gold - platinum;15.2
Graphite, pure (Carbon);7
Iron, cast;10.8
Iron, forged;11.3
Iron, pure;12
Lead;29
Marble;8
Nickel;13
Nylon, general purpose;70
Nylon, glass fiber reinforced;23
Nylon, Type 11, molding and extruding compound;100
Nylon, Type 12, molding and extruding compound;80.5
Nylon, Type 6, cast;85
Nylon, Type 6/6, molding compound;80
Oak, perpendicular to the grain;54
Plastics;80
Platinum;9
Polyester;124
Polyester - glass fiber-reinforced;25
Polyethylene (PE);150
Polyethylene (PE) - High Molecular Weight;108
Polyethylene terephthalate (PET);59.4
Porcelain, Industrial;4
Quartz, fused;0.55
Rubber, hard;80
Silver;19
Steel;11.3
Steel Stainless Austenitic (304);17.3
Steel Stainless Austenitic (310);14.4
Steel Stainless Austenitic (316);16
Steel Stainless Ferritic (410);9.9
Tin;21
Tungsten;4.5
Wedgwood ware;8.9
Wood, across (perpendicular) to grain;30
Wood, fir;3.7
Wood, parallel to grain;3
Wood, pine;5
Zinc;32
