Aluminum;2700
Aluminum Alloys ;2600-2885
Aluminum Bronze;7700
Bakelite;1360
Balsa Wood;130
Bark, wood refuse;240
Bone;1700-2000
Brasses;8400-8750
Bronzes;8740-8990
Brick;1400-2400
Brickwork in cement;1800
Caoutchouc;900-1000
Cardboard;700
Cast Iron;7200
Cellulose, cotton, wood pulp, regenerated;1480-1530
Chromium;7100
Copper;8790
Diamond;3000-3500
Glass, common;2400-2800
Gold;19290
Graphite;2300-2700
Iron, cast;7000-74000
Lead;11350
Nickel;8900
Nylon 6;1120-1170
Oak;720
Platinum;21500
Plywood;540
PS - poly styrene;1030
Porcelain;2300-2500
Pressed wood, pulp board;190
PVC - poly vinyl chloride;1390-1420
Rubber, hard;1200
Silver;10500
Steel;7820
Tin;7280
Titanium;4500
Zinc;7120
Alder;420 - 680
Afrormosia;710
Agba;510
Apple;650 - 850
Ash, white;650 - 850
Ash, black;540
Ash, European;710
Aspen;420
Balsa;110 - 140
Bamboo;310 - 400
Basswood;320 - 590
Beech;700 - 900
Birch;510 - 770
Birch, British;670
Birch, European;670
Blue gum;1000
Box;950 - 1160
Butternut;380
Cedar;490 - 570
Cedar of Lebanon;580
Cedar, western red;380
Cherry;630 - 900
Cherry, European;630
Chestnut, sweet;560
Cottonwood;410
Cypress;510
Dogwood;760
Douglas Fir;530
Ebony;1110 - 1330
Elm;540 - 600
Elm, American;570
Elm, English;550 - 600
Elm, Dutch;560
Elm, Wych;690
Elm, Rock;820
Gaboon;430
Greenheart;1040
Gum, Black;590
Gum, Blue;820
Gum, Red;540
Hackberry;620
Hemlock, western;500
Hickory;600 - 930
Holly;760
Iroko;660
Juniper;560
Keruing;740
Larch;500 - 560
Lignum Vitae;1170 - 1330
Lime, European;560
Locust;670 - 710
Logwood;910
Madrone;740
Magnolia;570
Mahogany, African;500 - 850
Mahogany, Cuban;660
Mahogany, Honduras;650
Mahogany, Spanish;850
Maple;620 - 750
Meranti, dark red;710
Myrtle;660
Oak;600 - 900
Oak, American Red;740
Oak, American White;770
Oak, English Brown;740
Obeche;390
Oregon Pine;530
Parana Pine;560
Pear;610 - 730
Pecan;770
Persimmon;900
Philippine Red Luan;590
Pine, pitch;830  850
Pine, Corsican;510
Pine, radiata;480
Pine, Scots;510
Pine, white;350 - 500
Pine, yellow;420
Plane, European;640
Plum;660 - 780
Poplar;350 - 500
Ramin;670
Redwood, American;450
Redwood, European;510
Rosewood, Bolivian;820
Rosewood, East Indian;900
Sapele;640
Satinwood;950
Spruce;480 - 780
Spruce, Canadian;450
Spruce, Norway;430
Spruce, Sitka;450
Spruce, western white;450
Sycamore;400 - 600
Tanguile;640
Teak, Indian;660 - 980
Teak, African;980
Teak, Burma;740
Utile;660
Walnut;640 - 700
Walnut, Amer Black;630
Walnut, Claro;490
Walnut, European;570
Water gum;1000
Whitewood, European;470
Willow;400 - 600
Yew;670
Zebrawood;790
