Aluminum;236
Aluminum Brass;121
Balsa wood;0.048
Beryllium copper 25;0 - 25
Brick dense;1.31
Cellulose, cotton, wood pulp and regenerated;0.23
Chromium;94.8
Copper;401
Copper - Admiralty Brass;111
Copper - Aluminum Bronze (95% Cu, 5% Al);83
Gold;318
Hardboard high density;0.15
Hardwoods (oak, maple..);0.16
Iron;83.5
Iron - Cast;52
Lead;35.5
Marble;2.08 - 2.94
Nickel;94
Nylon 6, Nylon 6/6;0.25
Platinum;71.5
Plywood;0.13
Polyamid;0.31
Polystyrene, expanded;0.03
Polyvinylchloride, PVC;0.19
Porcelain;1.5
Pyrex glass;1.005
Rock, porous volcanic (Tuff);0.5 - 2.5
Rock, solid;2 - 7
Silver;428
Steel - Carbon, 1% C;43
Styrofoam;0.033
Timber, alder;0.17
Timber, ash;0.16
Timber, birch;0.14
Timber, larch;0.12
Timber, maple;0.16
Timber, oak;0.17
Timber, pitchpine;0.14
Timber, pockwood;0.19
Timber, red beech;0.14
Timber, red pine;0.15
Timber, walnut;0.15
Timber, white pine;0.15
Tin;68.2
Titanium;22.4
Wood across the grain, balsa;0.055
Wood across the grain, white pine;0.12
Wood across the grain, yellow pine, timber;0.147
Wood, oak;0.17
Wool, felt;0.07
Zinc;122
