Aluminum Bronze;120
Aluminum;69
Aluminum Alloys;70
Bone, compact;18
Bone, spongy;76
Brass;110
Bronze;100
Carbon Fiber Reinforced Plastic;150
Chromium;248
Cobalt;207
Concrete;17
Copper;117
Diamond (C);1220
Douglas fir Wood;13
Epoxy resins;2.5
Glass;70
Gold;74
Granite;52
Graphene;1000
Iron;210
Lead;13.8
Nickel;170
Nickel Silver;128
Nickel Steel;200
Nylon-6;3
Oak Wood (along grain);11
Pine Wood (along grain);9
Platinum;147
Polystyrene, PS;3.25
Polyvinylchloride (PVC);3
Rubber, small strain;0.05
Silicon;150
Silver;72
Steel, stainless AISI 302;180
Steel, Structural ASTM-A36;200
Tin;47
Titanium Alloy;115
Wrought Iron;200
Zinc;83
Alder, red;9.5
Ash - Black, Blue, Green, Oregon, White;11
Aspen - Bigtooth, Quaking;9.9
Baldcypress;9.9
Baswood, American;10.1
Beech, American;11.9
Birch - Paper, Sweet, Yellow;13
Butternut;8.1
Cedar - Atlantic White, Eastern Red, Incence, Northern White, Port-Orford, Western Red, Yellow;8
Cherry, black;10.3
Chestnut, American;8.5
Cottonwood - Balam Poplar, Black, Eastern;8.2
Douglas-fir - Coast, Inerior West, Interior North, Interior South;11.8
Elm, English;11.8
Elm, Dutch;7.7
Fir;10.4
Hackberry;8.2
Hemlock - Eastern, Mountain, Western;9.8
Hickory, pecan - Bitternut, Nutmeg, Pecan, Water;12.5
Hickory, true - Mockernut, Pignut, Shagbark, Shellbark;15.2
Honeylocust;11.2
Larch, Western;12.9
Locust, black;14.1
Magnolia - Cucumbertree, Southern;11.2
Mahogany;8.7
Maple - Bigleaf, Black, Red, Silver, Sugar;10.3
Oak, red - Black, Cherrybark, laurel, Northern Red, Pin, Scarlet, Southern Red, Water, Willow;11.9
Oak, white - Bur, Chestnut, Live, Overcup, Post, Swamp Chestnut, Swamp White, White;10.5
Pine - Eastern White, Jack, Loblolly, Lodgepole, Longleaf, Pitch;11
Poplar, Yellow;10.9
Sassafras;7.7
Spruce - Black, Engelmann, Red, Sitka, White, Norway;9.5
Sweetgum;11.3
Sycamore, American;9.8
Tupelo - Black, Water;8.5
Walnut, black;11.6
Willow, black;7
